项目,数量,要求,备注
PICO RP2040开发板,1,无焊接,反面触点无需焊接
MPR121接近电容式触摸传感器模块,3,30.6mm*20.5mm模块，无焊接,上方5pin，下方12pin
VL53L0X飞行时间测距模块,5,25mm*12mm两侧带M3螺丝模块，无焊接,顺序VCC GND SCL SDA GPIO1 XSHUT
6*6脚立式微动开关,2,高度随意
M3*8子母铆钉对接螺丝,9
排针,若干
亚克力板,需定制或自己切割,我提供的方案适配的是24.5寸屏幕
PCB板,需定制,我提供的方案适配的是24.5寸屏幕
